id,naam,productLabel,maatschappijId,isRetention,isClosable,contractSoort,contractKind,elektraTariefType,gasTariefType,looptijd,contractDurationMonths,looptijdText,bonusTekstLang,bonusTekst,discountAmount,discountAmountPerYear,smartMeterRequired,toonAkkoordSlimmeMeter,inzichtelijk,helptBesparen,overigeDiensten,additionalConsentQuestion,actieToelichting,elektraGroenIndex,gasGroenIndex,priceQualityScore,priceQualityScoreWithDiscount,bestChoiceIndex,bestChoiceIndexWithDiscount,aandachtspunten,vendorName,contractTermAmounts_monthlyTermAmounts_termExclDiscountExclTaxReduction,contractTermAmounts_monthlyTermAmounts_termExclDiscountInclTaxReduction,contractTermAmounts_monthlyTermAmounts_termInclDiscountExclTaxReduction,contractTermAmounts_monthlyTermAmounts_termInclDiscountInclTaxReduction,contractTermAmounts_yearlyTermAmounts_termExclDiscountExclTaxReduction,contractTermAmounts_yearlyTermAmounts_termExclDiscountInclTaxReduction,contractTermAmounts_yearlyTermAmounts_termInclDiscountExclTaxReduction,contractTermAmounts_yearlyTermAmounts_termInclDiscountInclTaxReduction,scoreOverview_averageScore,scoreOverview_numberOfReviews,scoreOverview_hasEnoughReviewsToShow,prijsdetails_stroomLeveringstarief,prijsdetails_stroomLeveringstariefHoog,prijsdetails_stroomLeveringstariefLaag,prijsdetails_stroomVasteLeveringskosten,prijsdetails_stroomTerugleververgoeding,prijsdetails_stroomTerugleververgoedingHoog,prijsdetails_stroomTerugleververgoedingLaag,prijsdetails_stroomVasteTerugleveringskosten,prijsdetails_stroomDynamischLeveringstarief,prijsdetails_stroomInkoopvergoeding,prijsdetails_electricityFeedInCostPerKWh,prijsdetails_gasLeveringstarief,prijsdetails_gasVasteLeveringskosten,prijsdetails_gasDynamischLeveringstarief,prijsdetails_gasInkoopvergoeding,prijsdetails_extraKosten,prijsdetails_electricityTotalAnnualCost,prijsdetails_gasTotalAnnualCost,segment
13057,Stroom van Hollandse Kust & Vaste prijs Gas 1 jaar,1 jaar,75,False,True,ElektraEnGas,Vast,Vast,Vast,EenJaar,12,12 maanden,"Bij Vattenfall start een contract administratief gezien altijd op de eerste van de maand en eindigt het op de laatste dag van de maand. Dit betekent dat dit jaarcontract afloopt op 30 mei 2026.Heb je zonnepanelen of ga je deze installeren? Vanaf 1 januari 2027 mag er niet meer gesaldeerd worden. Het is nog niet duidelijk wat de terugleverkosten en terugleververgoeding na deze datum zullen zijn. Wil je flexibiliteit behouden, kies dan voor een dynamisch, variabel of 1 jaar vast contract.","€ 450,- korting",450.0,450.0,False,False,True,True,True,,,2,0,-15.4026889458,22.0973110542,10,1,['Bij Vattenfall start een contract administratief gezien altijd op de eerste van de maand en eindigt het op de laatste dag van de maand. Dit betekent dat dit jaarcontract afloopt op 30 april 2026.'],Vattenfall,80.48,27.55,42.98,-9.95,965.81,330.62,515.81,-119.38,0.0,0,False,0.0,0.28984,0.28984,9.2444,0.168,0.168,0.168,0.0,0.0,0.0,0.0,1.24528,7.985833333333333,0.0,0.0,0.0,-39.26336,369.88184,
10077,Nederlands Groen & Aardgas met Natuur voor Morgen 1 jaar Vast + 210 Euro korting,1 jaar,17,False,True,ElektraEnGas,Vast,Vast,Vast,EenJaar,12,12 maanden,,"€ 210,- korting",210.0,210.0,False,False,True,True,True,,,2,1,-14.9170881722,2.5829118278,5,10,[],Greenchoice,80.25,27.32,62.75,9.82,963.0,327.81,753.0,117.81,7.7,2180,True,0.0,0.2324,0.2445,9.32,0.16,0.16,0.16,0.0,0.0,0.0,0.0,1.23362,8.19,0.0,0.0,0.0,-43.6131,371.42236,
11460,HollandseWind & Zon Extra en CO2-Gecompenseerd Gas Actie 1 jaar,1 jaar,10,False,True,ElektraEnGas,Vast,Vast,Vast,EenJaar,12,12 maanden,,,,,False,False,True,True,True,,,2,1,-15.8204893326,-15.8204893326,15,18,[],Eneco,80.77,27.84,80.77,27.84,969.3,334.11,969.3,334.11,7.1,94,True,0.0,0.26186,0.24374,8.99,0.1823,0.1823,0.1823,0.0,0.0,0.0,0.0,1.22136,8.99,0.0,0.0,0.0,-45.95754,380.06608,C
13528,Stroom en Gas VoordeelVast 1 jaar,1 jaar,45,False,True,ElektraEnGas,Vast,Vast,Vast,EenJaar,12,12 maanden,,,,,False,False,True,True,True,,,2,1,-13.1009883656,-13.1009883656,0,13,[],Free Name,78.38,25.44,78.38,25.44,940.53,305.34,940.53,305.34,7.6,77,True,0.0,0.259953,0.226194,8.0,0.134,0.134,0.134,0.0,0.0,0.0,0.0,1.245522,7.5,0.0,0.0,0.0,-58.733902,364.070716,
11459,HollandseWind & Zon Actie en Gas Actie 1 jaar,1 jaar,10,False,True,ElektraEnGas,Vast,Vast,Vast,EenJaar,12,12 maanden,,"€ 340,- korting",340.0,340.0,False,False,True,True,True,,,2,0,-14.8204893326,13.5095106674,4,3,[],Eneco,79.77,26.84,51.44,-1.49,957.3,322.11,617.3,-17.89,7.1,94,True,0.0,0.26186,0.24374,8.99,0.1823,0.1823,0.1823,0.0,0.0,0.0,0.0,1.22136,7.99,0.0,0.0,0.0,-45.95754,368.06608,C
13590,100% Groene stroom uit Nederland & Gas met CO2 compensatie 1 jaar Vast met Korting,1 jaar,36,False,True,ElektraEnGas,Vast,Vast,Vast,EenJaar,12,12 maanden,,"€ 260,- korting",260.0,260.0,False,False,True,True,True,,,2,1,-17.9626889458,3.6973110542,18,9,[],Powerpeers,83.05,30.11,61.38,8.45,996.57,361.38,736.57,101.38,0.0,0,False,0.0,0.335215,0.335215,9.9946,0.15,0.15,0.15,0.0,0.0,0.0,0.0,1.310983,8.990010833333333,0.0,0.0,0.0,-25.678085,387.056804,
11503,Nederlandse Stroom en Gas met CO2 compensatie 1 jaar Vast,1 jaar,39,False,True,ElektraEnGas,Vast,Vast,Vast,EenJaar,12,12 maanden,,"€ 140,- korting",140.0,140.0,False,False,True,True,True,,,2,1,-16.405387592,-4.735387592,17,12,[],Pure Energy,81.93,29.0,70.27,17.33,983.19,348.0,843.19,208.0,8.0,227,True,0.0,0.25669,0.25002,9.49,0.06,0.06,0.06,0.0,0.0,0.0,0.0,1.24573,9.49,0.0,0.0,0.0,-39.96446,387.96694,
13092,Nederlandse Groene Stroom en Mix met groen gas Vast 1 Jaar,1 jaar,89,False,True,ElektraEnGas,Vast,Vast,Vast,EenJaar,12,12 maanden,,"€ ,- korting",0.0,,False,False,True,True,True,,,2,0,-13.3126889458,-13.3126889458,1,14,[],Engie,78.39,25.46,78.39,25.46,940.72,305.53,940.72,305.53,7.7,180,True,0.0,0.2971605,0.2557543,6.6671,0.125,0.125,0.125,0.0,0.0,0.0,0.0,1.2271421,8.683766666666667,0.0,0.0,0.0,-71.3148685,376.8422838,
11968,Nederlandse Stroom en Gas 1 jaar Wind Mee,1 jaar,43,False,True,ElektraEnGas,Vast,Vast,Vast,EenJaar,12,12 maanden,,"€ 300,- korting",300.0,300.0,False,False,True,True,True,,,2,0,-16.3870881722,8.6129118278,16,6,[],United Consumers,81.73,28.79,56.73,3.79,980.73,345.54,680.73,45.54,7.7,103,True,0.0,0.28551,0.24179,8.3325,0.1,0.1,0.1,0.0,0.0,0.0,0.0,1.24405,10.349166666666667,0.0,0.0,0.0,-52.61089,398.1459,
12095,Nederlandse Groene stroom en Gas met CO2 compensatie 1 jaar vast,1 jaar,70,False,True,ElektraEnGas,Vast,Vast,Vast,EenJaar,12,12 maanden,,,0.0,,False,False,True,True,True,,,2,1,-15.1109883656,-15.1109883656,8,17,[],At | New Energy,80.38,27.45,80.38,27.45,964.59,329.4,964.59,329.4,7.6,27,True,0.0,0.270417,0.240343,8.57083875,0.0215648,0.0215648,0.0215648,0.0,0.0,0.0,0.0,1.28577,8.57083875,0.0,0.0,0.0,-50.661148,380.060125,
