id,name,out,features,summary,feature_active,feature_label,provider_name,provider_logo,terms_type,terms_end,pricing_total,pricing_display_total,pricing_details_power_tariff,pricing_details_power_consumption,pricing_details_power_total_sum,pricing_details_power_tax_reduction,pricing_details_power_display_sum,pricing_details_gas_tariff,pricing_details_gas_consumption,pricing_details_gas_total_sum,pricing_details_gas_display_sum,pricing_details_feed_in_tariff,pricing_details_feed_in_consumption,pricing_details_feed_in_total_sum,pricing_details_feed_in_display_sum,pricing_details_feed_in_cost_tariff,pricing_details_feed_in_cost_fee,pricing_details_feed_in_cost_label,pricing_details_feed_in_cost_total_kwh,pricing_details_feed_in_cost_total_sum,pricing_details_feed_in_cost_display_sum,pricing_details_fixed_cost_power,pricing_details_fixed_cost_gas,pricing_details_fixed_cost_total_sum,pricing_details_fixed_cost_display_sum,pricing_details_operator_power,pricing_details_operator_gas,pricing_details_operator_total_sum,pricing_details_operator_display_sum,pricing_details_bruto_total_sum,pricing_details_bruto_display_sum,pricing_details_discount_type,pricing_details_discount_total_sum,pricing_details_discount_display_sum,pricing_details_discount_label,pricing_details_discount_title,pricing_details_discount_description,pricing_details_summary_power_total_sum,pricing_details_summary_power_display_sum,pricing_details_summary_gas_total_sum,pricing_details_summary_gas_display_sum,pricing_details_summary_feed_in_total_sum,pricing_details_summary_feed_in_display_sum,reviews_id,reviews_summary_total,reviews_summary_price_number,reviews_summary_price_percentage,reviews_summary_service_number,reviews_summary_service_percentage,reviews_summary_general_number,reviews_summary_general_percentage,reviews_summary_average_number,reviews_summary_average_percentage
4,Dynamisch,https://api.energievergelijk.nl/vergelijker/out/4,"[{'id': 22, 'description': 'Gratis energiemeter', 'description_long': None, 'icon': 'plus-compare'}, {'id': 47, 'description': 'Inclusief Zonnebonus', 'description_long': None, 'icon': 'plus-compare'}, {'id': 49, 'description': 'Altijd inzicht in je kosten', 'description_long': None, 'icon': 'plus-compare'}]","[{'description': 'Dynamisch', 'type': 'standard'}, {'description': 'Vrij opzegbaar', 'type': 'standard'}, {'description': 'Bespaar 15%', 'type': 'discount'}]",False,,Zonneplan,https://api.energievergelijk.nl/storage/logo/zonneplan-logo-green.svg,"Dynamisch: stroomtarieven verschillen per uur, gastarieven per dag","Dagelijks op te zeggen, zonder boete",0.0,"0,00","0,230",0,0,0,"0,00","1,155",,0,"0,00","0,000",0,0,"0,00","0,000",0,,0,0,"0,00",0,0,0,"0,00",0,0,0,"0,00",0,"0,00",PERCENTAGE,0.0,15,Bespaar 15%,Bespaar 15% met verbruiksinzicht,"De Zonneplan energiemeter krijg je na overstap gratis in bruikleen en geeft je live energieinzicht. Hiermee bespaar je al snel <strong class=""marker orange-small"">15%</strong> extra op je verbruik. <a href=""https://api.energievergelijk.nl/vergelijker/out/4"" target=""_blank"" rel=""nofollow"">Check deze deal hier</a>.",0,"0,00",0,"0,00",0,"0,00",9679,163,"8,7",87,"8,8",88,"8,7",87,"8,8",88
6,Vast (1 jaar),https://api.energievergelijk.nl/vergelijker/out/6,"[{'id': 5, 'description': '100% Europese windstroom', 'description_long': None, 'icon': 'plus-compare'}, {'id': 23, 'description': 'Onderdeel van Eneco', 'description_long': None, 'icon': 'plus-compare'}]","[{'description': 'Vast', 'type': 'standard'}, {'description': '1 jaar', 'type': 'standard'}, {'description': 'Tot € 100 korting', 'type': 'discount'}]",False,,Oxxio,https://api.energievergelijk.nl/storage/logo/Oxxio.svg,Jaarcontract: tarieven staan één jaar lang vast," Na één jaar op te zeggen, zonder boete",-100.0,"-100,00","0,247",0,0,0,"0,00","1,218",,0,"0,00","0,182",0,0,"0,00","0,172",0,,0,0,"0,00",0,0,0,"0,00",0,0,0,"0,00",0,"0,00",PRICE,100.0,100,Tot € 100 korting,Tot € 100 korting,"Nu tijdelijk met <strong class=""marker orange-small"">€ 100,-</strong> bonus. Dit bedrag krijg je als <strong>extra korting</strong> op je jaarnota. De hoogte van de korting is afhankelijk van je verbruik en postcode (<a href=""https://api.energievergelijk.nl/vergelijker/out/6"" target=""_blank"" rel=""nofollow"">vul hier in</a>).",0,"0,00",0,"0,00",0,"0,00",511,207,"7,2",72,"7,2",72,"7,3",73,"7,2",72
9,Vast (1 jaar),https://api.energievergelijk.nl/vergelijker/out/9,"[{'id': 1, 'description': 'Al 2 miljoen klanten', 'description_long': '', 'icon': 'plus-compare'}, {'id': 11, 'description': 'Persoonlijk bespaaradvies', 'description_long': None, 'icon': 'plus-compare'}, {'id': 12, 'description': 'Goed bereikbare klantenservice', 'description_long': None, 'icon': 'plus-compare'}]","[{'icon': 'leaf.svg', 'description': '100% groen uit Nederland', 'label': 'Duurzaamheid', 'type': 'highlight'}, {'description': 'Vast', 'type': 'standard'}, {'description': '1 jaar', 'type': 'standard'}]",False,,Vattenfall,https://api.energievergelijk.nl/storage/logo/Vattenfall-logo.svg,Jaarcontract: tarieven staan één jaar lang vast," Na één jaar op te zeggen, zonder boete",0.0,"0,00","0,290",0,0,0,"0,00","1,245",,0,"0,00","0,168",0,0,"0,00","0,000",0,,0,0,"0,00",0,0,0,"0,00",0,0,0,"0,00",0,"0,00",PRICE,0.0,0,€ 0 korting,€ 0 korting,"Nu met eenmalig <strong class=""marker orange-small"">€ 0,-</strong> bonus. Dit bedrag krijg je als <strong>extra korting</strong> op je jaarnota. Claim je korting <a href=""https://api.energievergelijk.nl/vergelijker/out/9"" target=""_blank"" rel=""nofollow"">hier</a>.",0,"0,00",0,"0,00",0,"0,00",461,976,"7,7",77,"8,1",81,"8,0",80,"7,9",79
10,Vast (3 jaar),https://api.energievergelijk.nl/vergelijker/out/10,"[{'id': 1, 'description': 'Al 2 miljoen klanten', 'description_long': '', 'icon': 'plus-compare'}, {'id': 4, 'description': 'Vast termijnbedrag', 'description_long': None, 'icon': 'plus-compare'}, {'id': 6, 'description': '100% groene stroom en gas', 'description_long': None, 'icon': 'plus-compare'}]","[{'icon': 'leaf.svg', 'description': '100% groen uit Nederland', 'label': 'Duurzaamheid', 'type': 'highlight'}, {'description': 'Vast', 'type': 'standard'}, {'description': '3 jaar', 'type': 'standard'}]",False,,Vattenfall,https://api.energievergelijk.nl/storage/logo/Vattenfall-logo.svg,Meerjarig: tarieven staan drie jaar vast,"Na drie jaar op te zeggen, zonder boete",0.0,"0,00","0,327",0,0,0,"0,00","1,394",,0,"0,00","0,168",0,0,"0,00","0,000",0,,0,0,"0,00",0,0,0,"0,00",0,0,0,"0,00",0,"0,00",PRICE,0.0,0,,,,0,"0,00",0,"0,00",0,"0,00",461,976,"7,7",77,"8,1",81,"8,0",80,"7,9",79
13,Variabel,https://api.energievergelijk.nl/vergelijker/out/13,"[{'id': 14, 'description': 'Al 2,5 miljoen klanten', 'description_long': None, 'icon': 'plus-compare'}, {'id': 15, 'description': 'Groene stroom', 'description_long': None, 'icon': 'plus-compare'}]","[{'description': 'Variabel', 'type': 'standard'}, {'description': 'Maandelijks opzegbaar', 'type': 'standard'}]",False,,Essent,https://api.energievergelijk.nl/storage/logo/Essent.svg,Variabel: tarieven wijzigen elke drie maanden of vaker,"Maandelijks op te zeggen, zonder boete",0.0,"0,00","0,272",0,0,0,"0,00","1,392",,0,"0,00","0,055",0,0,"0,00","0,000",0,,0,0,"0,00",0,0,0,"0,00",0,0,0,"0,00",0,"0,00",PRICE,0.0,0,,,,0,"0,00",0,"0,00",0,"0,00",466,1064,"8,2",82,"8,4",84,"8,5",85,"8,4",84
14,Vast (1 jaar),https://api.energievergelijk.nl/vergelijker/out/14,"[{'id': 9, 'description': 'Al 1,2 miljoen klanten', 'description_long': None, 'icon': 'plus-compare'}, {'id': 19, 'description': '100% groene stroom', 'description_long': None, 'icon': 'plus-compare'}, {'id': 50, 'description': 'Gratis stroom in het weekend', 'description_long': None, 'icon': 'plus-compare'}]","[{'description': 'Vast', 'type': 'standard'}, {'description': '1 jaar', 'type': 'standard'}, {'description': 'Tot € 100 korting', 'type': 'discount'}]",False,,BudgetEnergie,https://api.energievergelijk.nl/storage/logo/Budget-Energie.svg,Jaarcontract: tarieven staan één jaar lang vast," Na één jaar op te zeggen, zonder boete",-100.0,"-100,00","0,247",0,0,0,"0,00","1,220",,0,"0,00","0,020",0,0,"0,00","0,000",0,,0,0,"0,00",0,0,0,"0,00",0,0,0,"0,00",0,"0,00",PRICE,100.0,100,Tot € 100 korting,Tot € 100 korting,"Nu eenmalig tot <strong class=""marker orange-small"">€ 100,-</strong> bonus. Dit bedrag krijg je als extra korting op je jaarnota. De hoogte van de korting is afhankelijk van je verbruik en postcode (<a href=""https://api.energievergelijk.nl/vergelijker/out/14"" target=""_blank"" rel=""nofollow"">vul hier in</a>).",0,"0,00",0,"0,00",0,"0,00",509,617,"8,3",83,"7,9",79,"8,1",81,"8,1",81
15,Vast (3 jaar),https://api.energievergelijk.nl/vergelijker/out/15,"[{'id': 9, 'description': 'Al 1,2 miljoen klanten', 'description_long': None, 'icon': 'plus-compare'}, {'id': 10, 'description': 'Heldere energie-app', 'description_long': None, 'icon': 'plus-compare'}, {'id': 50, 'description': 'Gratis stroom in het weekend', 'description_long': None, 'icon': 'plus-compare'}]","[{'description': 'Vast', 'type': 'standard'}, {'description': '3 jaar', 'type': 'standard'}, {'description': 'Tot € 55 korting', 'type': 'discount'}]",False,,BudgetEnergie,https://api.energievergelijk.nl/storage/logo/Budget-Energie.svg,Meerjarig: tarieven staan drie jaar vast,"Na drie jaar op te zeggen, zonder boete",-18.333333333333332,"-18,33","0,238",0,0,0,"0,00","1,289",,0,"0,00","0,020",0,0,"0,00","0,000",0,,0,0,"0,00",0,0,0,"0,00",0,0,0,"0,00",0,"0,00",PRICE,18.333333333333332,55,Tot € 55 korting,Tot € 55 korting,"Nu tijdelijk tot <strong class=""marker orange-small"">€ 55,-</strong> bonus. Dit bedrag krijg je verdeeld over drie jaar bij iedere jaarrekening. De hoogte van de korting is afhankelijk van je verbruik en postcode (<a href=""https://api.energievergelijk.nl/vergelijker/out/15"" target=""_blank"" rel=""nofollow"">vul hier in</a>).",0,"0,00",0,"0,00",0,"0,00",509,617,"8,3",83,"7,9",79,"8,1",81,"8,1",81
16,Variabel,https://api.energievergelijk.nl/vergelijker/out/16,"[{'id': 9, 'description': 'Al 1,2 miljoen klanten', 'description_long': None, 'icon': 'plus-compare'}, {'id': 10, 'description': 'Heldere energie-app', 'description_long': None, 'icon': 'plus-compare'}]","[{'description': 'Variabel', 'type': 'standard'}, {'description': 'Maandelijks opzegbaar', 'type': 'standard'}]",False,,BudgetEnergie,https://api.energievergelijk.nl/storage/logo/Budget-Energie.svg,Variabel: tarieven wijzigen elke drie maanden of vaker,"Maandelijks op te zeggen, zonder boete",0.0,"0,00","0,259",0,0,0,"0,00","1,274",,0,"0,00","0,020",0,0,"0,00","0,000",0,,0,0,"0,00",0,0,0,"0,00",0,0,0,"0,00",0,"0,00",PRICE,0.0,0,,,,0,"0,00",0,"0,00",0,"0,00",509,617,"8,3",83,"7,9",79,"8,1",81,"8,1",81
19,Vast (1 jaar),https://api.energievergelijk.nl/vergelijker/out/19,"[{'id': 4, 'description': 'Vast termijnbedrag', 'description_long': None, 'icon': 'plus-compare'}, {'id': 12, 'description': 'Goed bereikbare klantenservice', 'description_long': None, 'icon': 'plus-compare'}]","[{'icon': 'leaf.svg', 'description': '100% groen uit Nederland', 'label': 'Duurzaamheid', 'type': 'highlight'}, {'description': 'Vast', 'type': 'standard'}, {'description': '1 jaar', 'type': 'standard'}]",False,,Coolblue,https://api.energievergelijk.nl/storage/logo/coolblue.svg,Jaarcontract: tarieven staan één jaar lang vast," Na één jaar op te zeggen, zonder boete",0.0,"0,00","0,246",0,0,0,"0,00","1,273",,0,"0,00","0,035",0,0,"0,00","0,000",0,,0,0,"0,00",0,0,0,"0,00",0,0,0,"0,00",0,"0,00",PRICE,0.0,0,€ 200 Coolblue tegoed,€ 200 Coolblue tegoed,Je ontvangt drie maanden nadat je levering start CoolblueTegoed. Je kunt dit tegoed vrij besteden bij Coolblue.,0,"0,00",0,"0,00",0,"0,00",5247,61,"6,9",69,"5,9",59,"5,9",59,"6,2",62
20,Vast (3 jaar),https://api.energievergelijk.nl/vergelijker/out/20,"[{'id': 4, 'description': 'Vast termijnbedrag', 'description_long': None, 'icon': 'plus-compare'}, {'id': 12, 'description': 'Goed bereikbare klantenservice', 'description_long': None, 'icon': 'plus-compare'}]","[{'icon': 'leaf.svg', 'description': '100% groen uit Nederland', 'label': 'Duurzaamheid', 'type': 'highlight'}, {'description': 'Vast', 'type': 'standard'}, {'description': '3 jaar', 'type': 'standard'}]",False,,Coolblue,https://api.energievergelijk.nl/storage/logo/coolblue.svg,Meerjarig: tarieven staan drie jaar vast,"Na drie jaar op te zeggen, zonder boete",0.0,"0,00","0,240",0,0,0,"0,00","1,331",,0,"0,00","0,035",0,0,"0,00","0,000",0,,0,0,"0,00",0,0,0,"0,00",0,0,0,"0,00",0,"0,00",PRICE,0.0,0,€ 300 Coolblue tegoed,€ 300 Coolblue tegoed,Je ontvangt drie maanden nadat je levering start CoolblueTegoed. Je kunt dit tegoed vrij besteden bij Coolblue.,0,"0,00",0,"0,00",0,"0,00",5247,61,"6,9",69,"5,9",59,"5,9",59,"6,2",62
